"geoid","county","state","gender","edulevel","estimate"
"47147","Robertson County","Tennessee","female","doctor",215
"47149","Rutherford County","Tennessee","all","total",208175
"47149","Rutherford County","Tennessee","male","total",99618
"47149","Rutherford County","Tennessee","male","noschool",1075
"47149","Rutherford County","Tennessee","male","hsorequi",28093
"47149","Rutherford County","Tennessee","male","somecollege",18696
"47149","Rutherford County","Tennessee","male","associate",7999
"47149","Rutherford County","Tennessee","male","bachelor",20813
"47149","Rutherford County","Tennessee","male","master",6386
"47149","Rutherford County","Tennessee","male","profschool",1183
"47149","Rutherford County","Tennessee","male","doctor",1302
"47149","Rutherford County","Tennessee","female","total",108557
"47149","Rutherford County","Tennessee","female","noschool",979
"47149","Rutherford County","Tennessee","female","hsorequi",28807
"47149","Rutherford County","Tennessee","female","somecollege",18322
"47149","Rutherford County","Tennessee","female","associate",10404
"47149","Rutherford County","Tennessee","female","bachelor",21875
"47149","Rutherford County","Tennessee","female","master",10074
"47149","Rutherford County","Tennessee","female","profschool",1431
"47149","Rutherford County","Tennessee","female","doctor",1020
"47155","Sevier County","Tennessee","all","total",70573
"47155","Sevier County","Tennessee","male","total",32938
"47155","Sevier County","Tennessee","male","noschool",174
"47155","Sevier County","Tennessee","male","hsorequi",13354
"47155","Sevier County","Tennessee","male","somecollege",4926
"47155","Sevier County","Tennessee","male","associate",1658
"47155","Sevier County","Tennessee","male","bachelor",4314
"47155","Sevier County","Tennessee","male","master",1088
"47155","Sevier County","Tennessee","male","profschool",273
"47155","Sevier County","Tennessee","male","doctor",168
"47155","Sevier County","Tennessee","female","total",37635
"47155","Sevier County","Tennessee","female","noschool",122
"47155","Sevier County","Tennessee","female","hsorequi",13448
"47155","Sevier County","Tennessee","female","somecollege",5114
"47155","Sevier County","Tennessee","female","associate",3215
"47155","Sevier County","Tennessee","female","bachelor",5419
"47155","Sevier County","Tennessee","female","master",1154
"47155","Sevier County","Tennessee","female","profschool",582
"47155","Sevier County","Tennessee","female","doctor",381
"47157","Shelby County","Tennessee","all","total",620000
"47157","Shelby County","Tennessee","male","total",284619
"47157","Shelby County","Tennessee","male","noschool",3133
"47157","Shelby County","Tennessee","male","hsorequi",87880
"47157","Shelby County","Tennessee","male","somecollege",49669
"47157","Shelby County","Tennessee","male","associate",15120
"47157","Shelby County","Tennessee","male","bachelor",48357
"47157","Shelby County","Tennessee","male","master",20755
"47157","Shelby County","Tennessee","male","profschool",8011
"47157","Shelby County","Tennessee","male","doctor",4445
"47157","Shelby County","Tennessee","female","total",335381
"47157","Shelby County","Tennessee","female","noschool",3161
"47157","Shelby County","Tennessee","female","hsorequi",86436
"47157","Shelby County","Tennessee","female","somecollege",58433
"47157","Shelby County","Tennessee","female","associate",21818
"47157","Shelby County","Tennessee","female","bachelor",69088
"47157","Shelby County","Tennessee","female","master",34872
"47157","Shelby County","Tennessee","female","profschool",5938
"47157","Shelby County","Tennessee","female","doctor",5143
"47163","Sullivan County","Tennessee","all","total",116476
"47163","Sullivan County","Tennessee","male","total",55352
"47163","Sullivan County","Tennessee","male","noschool",338
"47163","Sullivan County","Tennessee","male","hsorequi",19081
"47163","Sullivan County","Tennessee","male","somecollege",8488
"47163","Sullivan County","Tennessee","male","associate",3752
"47163","Sullivan County","Tennessee","male","bachelor",9181
"47163","Sullivan County","Tennessee","male","master",2985
"47163","Sullivan County","Tennessee","male","profschool",793
"47163","Sullivan County","Tennessee","male","doctor",1065
"47163","Sullivan County","Tennessee","female","total",61124
"47163","Sullivan County","Tennessee","female","noschool",328
"47163","Sullivan County","Tennessee","female","hsorequi",19750
"47163","Sullivan County","Tennessee","female","somecollege",8366
"47163","Sullivan County","Tennessee","female","associate",5478
"47163","Sullivan County","Tennessee","female","bachelor",9747
"47163","Sullivan County","Tennessee","female","master",5092
"47163","Sullivan County","Tennessee","female","profschool",803
"47163","Sullivan County","Tennessee","female","doctor",994
"47165","Sumner County","Tennessee","all","total",131695
"47165","Sumner County","Tennessee","male","total",62605
"47165","Sumner County","Tennessee","male","noschool",361
"47165","Sumner County","Tennessee","male","hsorequi",21369
"47165","Sumner County","Tennessee","male","somecollege",7224
"47165","Sumner County","Tennessee","male","associate",4097
"47165","Sumner County","Tennessee","male","bachelor",12365
"47165","Sumner County","Tennessee","male","master",3937
"47165","Sumner County","Tennessee","male","profschool",1264
"47165","Sumner County","Tennessee","male","doctor",1150
"47165","Sumner County","Tennessee","female","total",69090
"47165","Sumner County","Tennessee","female","noschool",331
"47165","Sumner County","Tennessee","female","hsorequi",19013
"47165","Sumner County","Tennessee","female","somecollege",9237
"47165","Sumner County","Tennessee","female","associate",6725
"47165","Sumner County","Tennessee","female","bachelor",15000
"47165","Sumner County","Tennessee","female","master",4856
"47165","Sumner County","Tennessee","female","profschool",1253
"47165","Sumner County","Tennessee","female","doctor",431
"47179","Washington County","Tennessee","all","total",89010
"47179","Washington County","Tennessee","male","total",43378
"47179","Washington County","Tennessee","male","noschool",169
"47179","Washington County","Tennessee","male","hsorequi",13581
"47179","Washington County","Tennessee","male","somecollege",6504
"47179","Washington County","Tennessee","male","associate",2562
"47179","Washington County","Tennessee","male","bachelor",7918
"47179","Washington County","Tennessee","male","master",3095
"47179","Washington County","Tennessee","male","profschool",1312
"47179","Washington County","Tennessee","male","doctor",1402
"47179","Washington County","Tennessee","female","total",45632
"47179","Washington County","Tennessee","female","noschool",128
"47179","Washington County","Tennessee","female","hsorequi",13831
"47179","Washington County","Tennessee","female","somecollege",4173
"47179","Washington County","Tennessee","female","associate",5104
"47179","Washington County","Tennessee","female","bachelor",8071
"47179","Washington County","Tennessee","female","master",4957
"47179","Washington County","Tennessee","female","profschool",737
"47179","Washington County","Tennessee","female","doctor",764
"47187","Williamson County","Tennessee","all","total",155962
"47187","Williamson County","Tennessee","male","total",74720
"47187","Williamson County","Tennessee","male","noschool",201
"47187","Williamson County","Tennessee","male","hsorequi",8501
"47187","Williamson County","Tennessee","male","somecollege",7829
"47187","Williamson County","Tennessee","male","associate",3887
"47187","Williamson County","Tennessee","male","bachelor",31004
"47187","Williamson County","Tennessee","male","master",12283
"47187","Williamson County","Tennessee","male","profschool",3492
"47187","Williamson County","Tennessee","male","doctor",2074
"47187","Williamson County","Tennessee","female","total",81242
"47187","Williamson County","Tennessee","female","noschool",193
"47187","Williamson County","Tennessee","female","hsorequi",12573
"47187","Williamson County","Tennessee","female","somecollege",7049
"47187","Williamson County","Tennessee","female","associate",5094
"47187","Williamson County","Tennessee","female","bachelor",29680
"47187","Williamson County","Tennessee","female","master",13003
"47187","Williamson County","Tennessee","female","profschool",2705
"47187","Williamson County","Tennessee","female","doctor",2081
"47189","Wilson County","Tennessee","all","total",100464
"47189","Wilson County","Tennessee","male","total",47659
"47189","Wilson County","Tennessee","male","noschool",125
"47189","Wilson County","Tennessee","male","hsorequi",14714
"47189","Wilson County","Tennessee","male","somecollege",6519
"47189","Wilson County","Tennessee","male","associate",3699
"47189","Wilson County","Tennessee","male","bachelor",10832
"47189","Wilson County","Tennessee","male","master",3624
"47189","Wilson County","Tennessee","male","profschool",792
"47189","Wilson County","Tennessee","male","doctor",314
"47189","Wilson County","Tennessee","female","total",52805
"47189","Wilson County","Tennessee","female","noschool",240
"47189","Wilson County","Tennessee","female","hsorequi",15046
"47189","Wilson County","Tennessee","female","somecollege",6166
"47189","Wilson County","Tennessee","female","associate",4255
"47189","Wilson County","Tennessee","female","bachelor",12123
"47189","Wilson County","Tennessee","female","master",5407
"47189","Wilson County","Tennessee","female","profschool",1111
"47189","Wilson County","Tennessee","female","doctor",1038
