"geoid","county","state","gender","edulevel","race","estimate"
"47037","Davidson County","Tennessee","female","total","others",5579
"47037","Davidson County","Tennessee","female","hs","others",914
"47037","Davidson County","Tennessee","female","somecollege","others",553
"47037","Davidson County","Tennessee","female","associate","others",317
"47037","Davidson County","Tennessee","female","bachelor","others",635
"47037","Davidson County","Tennessee","female","gradprof","others",835
"47037","Davidson County","Tennessee","all","total","twoormore",7587
"47037","Davidson County","Tennessee","male","total","twoormore",4025
"47037","Davidson County","Tennessee","male","hs","twoormore",323
"47037","Davidson County","Tennessee","male","somecollege","twoormore",1284
"47037","Davidson County","Tennessee","male","associate","twoormore",428
"47037","Davidson County","Tennessee","male","bachelor","twoormore",1117
"47037","Davidson County","Tennessee","male","gradprof","twoormore",764
"47037","Davidson County","Tennessee","female","total","twoormore",3562
"47037","Davidson County","Tennessee","female","hs","twoormore",112
"47037","Davidson County","Tennessee","female","somecollege","twoormore",325
"47037","Davidson County","Tennessee","female","associate","twoormore",790
"47037","Davidson County","Tennessee","female","bachelor","twoormore",1181
"47037","Davidson County","Tennessee","female","gradprof","twoormore",619
"47037","Davidson County","Tennessee","all","total","angloexcl",297060
"47037","Davidson County","Tennessee","male","total","angloexcl",142482
"47037","Davidson County","Tennessee","male","hs","angloexcl",22048
"47037","Davidson County","Tennessee","male","somecollege","angloexcl",23463
"47037","Davidson County","Tennessee","male","associate","angloexcl",7409
"47037","Davidson County","Tennessee","male","bachelor","angloexcl",50834
"47037","Davidson County","Tennessee","male","gradprof","angloexcl",25778
"47037","Davidson County","Tennessee","female","total","angloexcl",154578
"47037","Davidson County","Tennessee","female","hs","angloexcl",22082
"47037","Davidson County","Tennessee","female","somecollege","angloexcl",24331
"47037","Davidson County","Tennessee","female","associate","angloexcl",8212
"47037","Davidson County","Tennessee","female","bachelor","angloexcl",56178
"47037","Davidson County","Tennessee","female","gradprof","angloexcl",31445
"47037","Davidson County","Tennessee","all","total","hispanic",36785
"47037","Davidson County","Tennessee","male","total","hispanic",20062
"47037","Davidson County","Tennessee","male","hs","hispanic",3481
"47037","Davidson County","Tennessee","male","somecollege","hispanic",2160
"47037","Davidson County","Tennessee","male","associate","hispanic",402
"47037","Davidson County","Tennessee","male","bachelor","hispanic",2152
"47037","Davidson County","Tennessee","male","gradprof","hispanic",547
"47037","Davidson County","Tennessee","female","total","hispanic",16723
"47037","Davidson County","Tennessee","female","hs","hispanic",3880
"47037","Davidson County","Tennessee","female","somecollege","hispanic",1349
"47037","Davidson County","Tennessee","female","associate","hispanic",1454
"47037","Davidson County","Tennessee","female","bachelor","hispanic",2019
"47037","Davidson County","Tennessee","female","gradprof","hispanic",1228
"47059","Greene County","Tennessee","all","total","anglo",48069
"47059","Greene County","Tennessee","male","total","anglo",22968
"47059","Greene County","Tennessee","male","hs","anglo",8394
"47059","Greene County","Tennessee","male","somecollege","anglo",4305
"47059","Greene County","Tennessee","male","associate","anglo",1790
"47059","Greene County","Tennessee","male","bachelor","anglo",1679
"47059","Greene County","Tennessee","male","gradprof","anglo",1900
"47059","Greene County","Tennessee","female","total","anglo",25101
"47059","Greene County","Tennessee","female","hs","anglo",8044
"47059","Greene County","Tennessee","female","somecollege","anglo",4291
"47059","Greene County","Tennessee","female","associate","anglo",1390
"47059","Greene County","Tennessee","female","bachelor","anglo",3674
"47059","Greene County","Tennessee","female","gradprof","anglo",2011
"47059","Greene County","Tennessee","all","total","aframer",NA
"47059","Greene County","Tennessee","male","total","aframer",NA
"47059","Greene County","Tennessee","male","hs","aframer",NA
"47059","Greene County","Tennessee","male","somecollege","aframer",NA
"47059","Greene County","Tennessee","male","associate","aframer",NA
"47059","Greene County","Tennessee","male","bachelor","aframer",NA
"47059","Greene County","Tennessee","male","gradprof","aframer",NA
"47059","Greene County","Tennessee","female","total","aframer",NA
"47059","Greene County","Tennessee","female","hs","aframer",NA
