"geoid","county","state","language","estimate"
"47155","Sevier County","Tennessee","vietnamese",NA
"47155","Sevier County","Tennessee","vietEngless",NA
"47155","Sevier County","Tennessee","tagalog",NA
"47155","Sevier County","Tennessee","tgEngless",NA
"47155","Sevier County","Tennessee","othrPaci",NA
"47155","Sevier County","Tennessee","paciEngless",NA
"47155","Sevier County","Tennessee","arabic",NA
"47155","Sevier County","Tennessee","arEngless",NA
"47155","Sevier County","Tennessee","othrUnspec",NA
"47155","Sevier County","Tennessee","unspecEngless",NA
"47157","Shelby County","Tennessee","total_pop",937166
"47157","Shelby County","Tennessee","langTotal",872284
"47157","Shelby County","Tennessee","english",782940
"47157","Shelby County","Tennessee","spanish",54816
"47157","Shelby County","Tennessee","spEngless",21418
"47157","Shelby County","Tennessee","frHaitcaj",1559
"47157","Shelby County","Tennessee","frEngless",160
"47157","Shelby County","Tennessee","germanic",1308
"47157","Shelby County","Tennessee","gerEngless",311
"47157","Shelby County","Tennessee","rusPolslav",1529
"47157","Shelby County","Tennessee","rusEngless",415
"47157","Shelby County","Tennessee","othrIndoeuro",3888
"47157","Shelby County","Tennessee","indeuroEngless",1105
"47157","Shelby County","Tennessee","korean",679
"47157","Shelby County","Tennessee","korEngless",291
"47157","Shelby County","Tennessee","chinese",4672
"47157","Shelby County","Tennessee","chEngless",2967
"47157","Shelby County","Tennessee","vietnamese",5436
"47157","Shelby County","Tennessee","vietEngless",3786
"47157","Shelby County","Tennessee","tagalog",407
"47157","Shelby County","Tennessee","tgEngless",196
"47157","Shelby County","Tennessee","othrPaci",6012
"47157","Shelby County","Tennessee","paciEngless",1439
"47157","Shelby County","Tennessee","arabic",2756
"47157","Shelby County","Tennessee","arEngless",891
"47157","Shelby County","Tennessee","othrUnspec",6282
"47157","Shelby County","Tennessee","unspecEngless",1917
"47163","Sullivan County","Tennessee","total_pop",158348
"47163","Sullivan County","Tennessee","langTotal",NA
"47163","Sullivan County","Tennessee","english",NA
"47163","Sullivan County","Tennessee","spanish",NA
"47163","Sullivan County","Tennessee","spEngless",NA
"47163","Sullivan County","Tennessee","frHaitcaj",NA
"47163","Sullivan County","Tennessee","frEngless",NA
"47163","Sullivan County","Tennessee","germanic",NA
"47163","Sullivan County","Tennessee","gerEngless",NA
"47163","Sullivan County","Tennessee","rusPolslav",NA
"47163","Sullivan County","Tennessee","rusEngless",NA
"47163","Sullivan County","Tennessee","othrIndoeuro",NA
"47163","Sullivan County","Tennessee","indeuroEngless",NA
"47163","Sullivan County","Tennessee","korean",NA
"47163","Sullivan County","Tennessee","korEngless",NA
"47163","Sullivan County","Tennessee","chinese",NA
"47163","Sullivan County","Tennessee","chEngless",NA
"47163","Sullivan County","Tennessee","vietnamese",NA
"47163","Sullivan County","Tennessee","vietEngless",NA
"47163","Sullivan County","Tennessee","tagalog",NA
"47163","Sullivan County","Tennessee","tgEngless",NA
"47163","Sullivan County","Tennessee","othrPaci",NA
"47163","Sullivan County","Tennessee","paciEngless",NA
"47163","Sullivan County","Tennessee","arabic",NA
"47163","Sullivan County","Tennessee","arEngless",NA
"47163","Sullivan County","Tennessee","othrUnspec",NA
"47163","Sullivan County","Tennessee","unspecEngless",NA
"47165","Sumner County","Tennessee","total_pop",191283
"47165","Sumner County","Tennessee","langTotal",NA
"47165","Sumner County","Tennessee","english",NA
"47165","Sumner County","Tennessee","spanish",NA
"47165","Sumner County","Tennessee","spEngless",NA
"47165","Sumner County","Tennessee","frHaitcaj",NA
"47165","Sumner County","Tennessee","frEngless",NA
"47165","Sumner County","Tennessee","germanic",NA
"47165","Sumner County","Tennessee","gerEngless",NA
"47165","Sumner County","Tennessee","rusPolslav",NA
"47165","Sumner County","Tennessee","rusEngless",NA
"47165","Sumner County","Tennessee","othrIndoeuro",NA
"47165","Sumner County","Tennessee","indeuroEngless",NA
"47165","Sumner County","Tennessee","korean",NA
"47165","Sumner County","Tennessee","korEngless",NA
"47165","Sumner County","Tennessee","chinese",NA
"47165","Sumner County","Tennessee","chEngless",NA
"47165","Sumner County","Tennessee","vietnamese",NA
"47165","Sumner County","Tennessee","vietEngless",NA
"47165","Sumner County","Tennessee","tagalog",NA
"47165","Sumner County","Tennessee","tgEngless",NA
"47165","Sumner County","Tennessee","othrPaci",NA
"47165","Sumner County","Tennessee","paciEngless",NA
"47165","Sumner County","Tennessee","arabic",NA
"47165","Sumner County","Tennessee","arEngless",NA
"47165","Sumner County","Tennessee","othrUnspec",NA
"47165","Sumner County","Tennessee","unspecEngless",NA
"47179","Washington County","Tennessee","total_pop",129375
